feature,group,source_a,source_b,jsd
bwd_iat_mean,timing,hikari2021,iot23_mcfp,0.0
fwd_bwd_iat_ratio,timing,auto_capture_hf,cesnet_miner22,0.571597
fwd_bwd_iat_ratio,timing,auto_capture_hf,cj_sniffer,0.847112
fwd_bwd_iat_ratio,timing,auto_capture_hf,hikari2021,0.0
fwd_bwd_iat_ratio,timing,auto_capture_hf,iot23_mcfp,0.0
fwd_bwd_iat_ratio,timing,cesnet_miner22,cj_sniffer,0.752
fwd_bwd_iat_ratio,timing,cesnet_miner22,hikari2021,0.542426
fwd_bwd_iat_ratio,timing,cesnet_miner22,iot23_mcfp,0.727201
fwd_bwd_iat_ratio,timing,cj_sniffer,hikari2021,0.0
fwd_bwd_iat_ratio,timing,cj_sniffer,iot23_mcfp,0.0
fwd_bwd_iat_ratio,timing,hikari2021,iot23_mcfp,0.0
burst_count,timing,auto_capture_hf,cesnet_miner22,0.851819
burst_count,timing,auto_capture_hf,cj_sniffer,0.900362
burst_count,timing,auto_capture_hf,hikari2021,0.0
burst_count,timing,auto_capture_hf,iot23_mcfp,0.0
burst_count,timing,cesnet_miner22,cj_sniffer,0.784608
burst_count,timing,cesnet_miner22,hikari2021,1.0
burst_count,timing,cesnet_miner22,iot23_mcfp,0.747336
burst_count,timing,cj_sniffer,hikari2021,0.0
burst_count,timing,cj_sniffer,iot23_mcfp,0.0
burst_count,timing,hikari2021,iot23_mcfp,0.0
burst_mean_packets,timing,auto_capture_hf,cesnet_miner22,0.890283
burst_mean_packets,timing,auto_capture_hf,cj_sniffer,0.841933
burst_mean_packets,timing,auto_capture_hf,hikari2021,0.0
burst_mean_packets,timing,auto_capture_hf,iot23_mcfp,0.0
burst_mean_packets,timing,cesnet_miner22,cj_sniffer,0.684617
burst_mean_packets,timing,cesnet_miner22,hikari2021,0.949282
burst_mean_packets,timing,cesnet_miner22,iot23_mcfp,0.781761
burst_mean_packets,timing,cj_sniffer,hikari2021,0.0
burst_mean_packets,timing,cj_sniffer,iot23_mcfp,0.0
burst_mean_packets,timing,hikari2021,iot23_mcfp,0.0
burst_max_packets,timing,auto_capture_hf,cesnet_miner22,0.860432
burst_max_packets,timing,auto_capture_hf,cj_sniffer,0.483008
burst_max_packets,timing,auto_capture_hf,hikari2021,0.0
burst_max_packets,timing,auto_capture_hf,iot23_mcfp,0.0
burst_max_packets,timing,cesnet_miner22,cj_sniffer,0.751334
burst_max_packets,timing,cesnet_miner22,hikari2021,0.98392
burst_max_packets,timing,cesnet_miner22,iot23_mcfp,0.906227
burst_max_packets,timing,cj_sniffer,hikari2021,0.0
burst_max_packets,timing,cj_sniffer,iot23_mcfp,0.0
burst_max_packets,timing,hikari2021,iot23_mcfp,0.0
periodicity_autocorr_lag,timing,auto_capture_hf,cesnet_miner22,0.668301
periodicity_autocorr_lag,timing,auto_capture_hf,cj_sniffer,0.624319
periodicity_autocorr_lag,timing,auto_capture_hf,hikari2021,0.0
periodicity_autocorr_lag,timing,auto_capture_hf,iot23_mcfp,0.0
periodicity_autocorr_lag,timing,cesnet_miner22,cj_sniffer,0.557839
periodicity_autocorr_lag,timing,cesnet_miner22,hikari2021,0.546126
periodicity_autocorr_lag,timing,cesnet_miner22,iot23_mcfp,0.900095
periodicity_autocorr_lag,timing,cj_sniffer,hikari2021,0.0
periodicity_autocorr_lag,timing,cj_sniffer,iot23_mcfp,0.0
periodicity_autocorr_lag,timing,hikari2021,iot23_mcfp,0.0
periodicity_autocorr_score,timing,auto_capture_hf,cesnet_miner22,0.531064
periodicity_autocorr_score,timing,auto_capture_hf,cj_sniffer,0.610894
periodicity_autocorr_score,timing,auto_capture_hf,hikari2021,0.0
periodicity_autocorr_score,timing,auto_capture_hf,iot23_mcfp,0.0
periodicity_autocorr_score,timing,cesnet_miner22,cj_sniffer,0.397833
periodicity_autocorr_score,timing,cesnet_miner22,hikari2021,0.578795
periodicity_autocorr_score,timing,cesnet_miner22,iot23_mcfp,0.767663
periodicity_autocorr_score,timing,cj_sniffer,hikari2021,0.0
periodicity_autocorr_score,timing,cj_sniffer,iot23_mcfp,0.0
periodicity_autocorr_score,timing,hikari2021,iot23_mcfp,0.0
periodicity_fft_peak,timing,auto_capture_hf,cesnet_miner22,0.893723
periodicity_fft_peak,timing,auto_capture_hf,cj_sniffer,0.825809
periodicity_fft_peak,timing,auto_capture_hf,hikari2021,0.0
periodicity_fft_peak,timing,auto_capture_hf,iot23_mcfp,0.0
periodicity_fft_peak,timing,cesnet_miner22,cj_sniffer,0.904997
periodicity_fft_peak,timing,cesnet_miner22,hikari2021,0.542426
periodicity_fft_peak,timing,cesnet_miner22,iot23_mcfp,0.727201
periodicity_fft_peak,timing,cj_sniffer,hikari2021,0.0
periodicity_fft_peak,timing,cj_sniffer,iot23_mcfp,0.0
periodicity_fft_peak,timing,hikari2021,iot23_mcfp,0.0
has_tls,tls,auto_capture_hf,cesnet_miner22,0.0
has_tls,tls,auto_capture_hf,cj_sniffer,0.0
has_tls,tls,auto_capture_hf,hikari2021,0.0
has_tls,tls,auto_capture_hf,iot23_mcfp,0.0
has_tls,tls,cesnet_miner22,cj_sniffer,0.0
has_tls,tls,cesnet_miner22,hikari2021,0.0
has_tls,tls,cesnet_miner22,iot23_mcfp,0.0
has_tls,tls,cj_sniffer,hikari2021,0.0
has_tls,tls,cj_sniffer,iot23_mcfp,0.0
has_tls,tls,hikari2021,iot23_mcfp,0.0
tls_source,tls,auto_capture_hf,cesnet_miner22,
tls_source,tls,auto_capture_hf,cj_sniffer,
tls_source,tls,auto_capture_hf,hikari2021,
tls_source,tls,auto_capture_hf,iot23_mcfp,
tls_source,tls,cesnet_miner22,cj_sniffer,
tls_source,tls,cesnet_miner22,hikari2021,
tls_source,tls,cesnet_miner22,iot23_mcfp,
tls_source,tls,cj_sniffer,hikari2021,
tls_source,tls,cj_sniffer,iot23_mcfp,
